 ID:583680 Flak 38 < Lin N 5 Com AAA 
 ID:598016 Flak 38 < Lin N 5 Com AAA 
 ID:182272 arf_dugouts_3[25011,4] < Lin N 5 Rif Dug 
 ID:23552 industrial_300x100_01[23587,3] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,4] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,7] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,11] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,3] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,4] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,7] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,8] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,11] < Sta N 1 Rif Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:22528 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:18432 industrial_300x100_01[23409,1] < Sta N 1 Com Edi 
 ID:23552 industrial_300x100_01[23587,7] < Sta N 1 Rif Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:23552 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:18432 industrial_300x100_01[23409,0] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,5] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,6] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,12] < Sta N 1 Com Edi 
 ID:23552 industrial_300x100_01[23587,2] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,13] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,3] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,8] < Sta N 1 Rif Edi 
 ID:17408 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:17408 industrial_300x100_01[23405,11] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,0] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,5] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,6] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,9] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,10] < Sta N 1 Com Edi 
 ID:17408 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:17408 industrial_300x100_01[23405,11] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,2] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,4] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,5] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,6] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,7] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,9] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,10] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,11] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,13] < Sta N 1 Com Edi 
 ID:17408 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,2] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,3] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,4] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,7] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,11] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,13] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:17408 industrial_300x100_01[23405,0] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,2] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,7] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,8] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,11] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,13] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,12] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,3] < Sta N 1 Com Edi 
